No,BookTitle,Author,BookImage,Idea,Date,CreatedAt,UpdatedAt
1,React入門 React・Reduxの導入からサーバサイドレンダリングによるUXの向上まで,穴井宏幸,http://books.google.com/books/content?id=SuFLDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,だれっだってえ、,2021-09-22 20:23:00,2021-09-22 20:23:16,2021-09-22 20:23:16
2,React環境構築の教科書,井手 優太,http://books.google.com/books/content?id=VSv3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,複数bookでも大丈夫だろうか？？？,2021-09-16 20:25:00,2021-09-22 20:25:29,2021-09-22 20:25:29
3,入門React,フランキー バグナルディ,http://books.google.com/books/content?id=mRlbrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ん？？？できてる？？,2021-09-09 20:31:00,2021-09-22 20:31:45,2021-09-22 20:31:45
4,プログラミングRust,Jim Blandy,http://books.google.com/books/content?id=Qg9uugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,カニいい,2021-09-23 08:06:00,2021-09-23 08:06:04,2021-09-23 08:06:04
